"Sign","Sign1","Name","Values","Values1","MesZL","ABZ/Labat","Codepoint","Values2","Values3","Path","MesZL_nu"
"𒀀𒋻𒀀𒀭","𒀀𒋻𒀀𒀭","A.TAR.A.AN","A.TAR.A.AN (EBLA)","A.TAR.A.AN (EBLA)","839+009+839+010","579+012+579+013","U+12000 & U+122FB & U+12000 & U+1202D (A & TAR & A & & AN)","A.TAR.A.AN (EBLA)","A.TAR.A.AN (EBLA)","–",839
"𒀀𒌁","𒀀𒌁","A.TIR","A.TIR (ASI, EŠA, EŠE4, ŠE16)","A.TIR (ASI, EŠA, EŠE<sub>4</sub>, <font color=""#c5000b"">ŠE<sub>16</sub></font> <font color=""#878787"">(Labat; MesZL: ŠE<sub>16</sub> =? ŠEŠ (no. 535)</font>)","839+587","579+375","U+12000 & U+12301 (A & TIR)","A.TIR (ASI, EŠA, EŠE4, ŠE16 (Labat; MesZL: ŠE16 =? ŠEŠ (no. 535)))","A.TIR (ASI, ESHA, ESHE4, SHE16)","–",839
"𒀷 or 𒀀𒌅𒃮𒇺","𒀷<font face = ""TeX Gyre Heros"" style=""font-size: 12pt"" color = ""#ffffff""> or </font>𒀀𒌅𒃮𒇺","A.TU.GAB.LIŠ","A.TU.GAB.LIŠ, (A.TU.DU8.LIŠ, A.TU.DUḪ.LIŠ; ASAL2, ASAR2)","A.TU.GAB.LIŠ, (A.TU.DU<sub>8</sub>.LIŠ, A.TU.DUḪ.LIŠ; ASAL<sub>2</sub>, ASAR<sub>2</sub>)","839+086+298+591","579+058+167+377","U+12037 (ASAL2) or U+12000 & U+12305 & U+120EE & U+121FA (A & TU & GABA & LISH)","A.TU.GAB.LIŠ, (A.TU.DU8.LIŠ, A.TU.DUḪ.LIŠ; ASAL2, ASAR2)","A.TU.GAB.LISH, (A.TU.DU8.LISH, A.TU.DUH.LISH; ASAL2, ASAR2)","–",839
"𒀀𒌉","𒀀𒌉","A.TUR","A.TUR (DAMU, EDAMU)","A.TUR (<font color=""#c5000b"">DAMU</font> <font color=""#878787"">(Labat: ?; MesZL: DAMU = TUR (no. 255))</font>, <font color=""#c5000b"">EDAMU</font> <font color=""#878787"">(Labat: ?; MesZL: EDAMU = TUR (no. 255))</font>)","839+255","579+144","U+12000 & U+12309 (A & TUR)","A.TUR (DAMU (Labat: ?; MesZL: DAMU = TUR (no. 255)), EDAMU (Labat: ?; MesZL: EDAMU = TUR (no. 255)))","A.TUR (DAMU, EDAMU)","–",839
"𒀀𒄷𒋛","𒀀𒄷𒋛","A.U₅","A.U5 (LIQ3)","A.U<sub>5</sub> (LIQ<sub>3</sub>)","839+133","579+078","U+12000 & U+12137 & U+122DB (A & HU & SI)","A.U5 (LIQ3)","A.U5 (LIQ3)","–",839
"𒀪","𒀪","A’","Aʾ (aleph, ʾA, ʾE, ʾI, ʾU, AḪ4, Eʾ, EḪ2, Iʾ, IḪ2, Uʾ, UḪ5, UMUN4)","Aʾ (<font color=""#878787"">(MesZL: late variant of AḪ (636))</font>; aleph, ʾA, ʾE, ʾI, ʾU, AḪ<sub>4</sub></font> <font color=""#878787"">(MesZL: Labat differently; Labat: in syllabary AḪ<sub>4</sub> = Aʾ (no. 635), but in index (perhaps erroneously) AḪ<sub>4</sub> = PAB (no. 92))</font>, Eʾ, EḪ<sub>2</sub>, Iʾ, IḪ<sub>2</sub>, Uʾ, UḪ<sub>5</sub>, UMUN<sub>4</sub>)","635","397","U+1202A (ALEPH)","A’ ( (MesZL: late variant of AḪ (no. 636)); aleph, ’A, ’E, ’I, ’U, AḪ4 (MesZL: Labat differently; Labat: in syllabary AḪ4 = A’ (no. 635), but in index (perhaps erroneously) AḪ4 = PAB (no. 92)), E’, EḪ2, I’, IḪ2, U’, UḪ5, UMUN4)","Aʾ (aleph, ʾA, ʾE, ʾI, ʾU, AH4, Eʾ, EH2, Iʾ, IH2, Uʾ, UH5, UMUN4)","397-aleph",635
"𒀉","𒀉","A₂","A2 (AḪ5, AḪI, AḪI2, ED, ET, EṬ, ID, IDI2, IT, IṬ, SUKU5, SUKU6, TE8, TI8)","A<sub>2</sub> (AḪ<sub>5</sub>, <font color=""#c5000b"">AḪI</font> <font color=""#878787"">(Labat: ?; MesZL: AḪI<sub>2</sub>, AḪI = ŠEŠ (no. 535))</font>, AḪI<sub>2</sub>, ED <font color=""#878787"">(MesZL: Deimel ED<sub>2</sub>)</font>, ET, EṬ, ID, IDI<sub>2</sub>, IT, IṬ, SUKU<sub>5</sub> <font color=""#878787"">(MesZL: MUŠ<sub>2</sub> (152) and A<sub>2</sub> (560), Deimel SUKU<sub>2</sub>)</font>, SUKU<sub>6</sub></font> <font color=""#878787"">(MesZL: MUŠ<sub>3</sub> (153) and A<sub>2</sub> (560))</font>, TE<sub>8</sub></font> <font color=""#878787"">(MesZL: Deimel differently)</font>, TI<sub>8</sub>)","560","334","U+12009 (A2)","A2 (AḪ5, AḪI (Labat: ?; MesZL: AḪI2, AḪI = ŠEŠ (no. 535)), AḪI2, ED (MesZL: Deimel ED2), ET, EṬ, ID, IDI2, IT, IṬ, SUKU5 (MesZL: MUŠ2 (no. 152) and A2 (no. 560), Deimel SUKU2), SUKU6 (MesZL: MUŠ3 (no. 153) and A2 (no. 560)), TE8 (MesZL: Deimel differently), TI8)","A2 (AH5, AHI, AHI2, ED, ET, EṬ, ID, IDI2, IT, IṬ, SUKU5, SUKU6, TE8, TI8)","334-A2",560
"𒀉𒂑","𒀉𒂑","A₂.ARḪUŠ","A2.ARḪUŠ (ARḪUŠ7)","A<sub>2</sub>.ARḪUŠ (ARḪUŠ<sub>7</sub>)","560+432","334+271","U+12009 & U+12091 (A2 & E2 TIMES SAL)","A2.ARḪUŠ (ARḪUŠ7)","A2.ARHUSH (ARHUSH7)","–",560
"𒀉𒀸","𒀉𒀸","A₂.AŠ","A2.AŠ (LIRI5, LIRU5, LIRUM5)","A<sub>2</sub>.AŠ (LIRI<sub>5</sub>, LIRU<sub>5</sub>, LIRUM<sub>5</sub>)","560+001","334+001","U+12009 & U+12038 (A2 & ASH)","A2.AŠ (LIRI5, LIRU5, LIRUM5)","A2.ASH (LIRI5, LIRU5, LIRUM5)","–",560
"𒀉𒄷","𒀉𒄷","A₂.ḪU","A2.ḪU (TE8, TI8)","A<sub>2</sub>.ḪU (<font color=""#c5000b"">TE<sub>8</sub></font> <font color=""#878787"">(Labat; MesZL: TE<sub>8</sub> = A<sub>2</sub> (no. 560))</font>, <font color=""#c5000b"">TI<sub>8</sub></font> <font color=""#878787"">(Labat; MesZL: TI<sub>8</sub> = A<sub>2</sub> (no. 560))</font>)","560+132","334+078","U+12009 & U+12137 (A2 & HU)","A2.ḪU (TE8 (Labat; MesZL: TE8 = A2 (no. 560), TI8 (Labat; MesZL: TI8 = A2 (no. 560)))","A2.HU (TE8, TI8)","–",560
"𒀉𒆗","𒀉𒆗","A₂.KAL","A2.KAL (LIRI4, LIRU4, LIRUM4, USU)","A<sub>2</sub>.KAL (LIRI<sub>4</sub>, LIRU<sub>4</sub>, LIRUM<sub>4</sub>, USU)","560+496","334+322","U+12009 & U+12197 (A2 & KAL)","A2.KAL (LIRI4, LIRU4, LIRUM4, USU)","A2.KAL (LIRI4, LIRU4, LIRUM4, USU)","–",560
"𒀉𒇲𒂟","𒀉𒇲𒂟","A₂.LAL.ERIM","A2.LAL.ERIM (NIŠAKIN)","A<sub>2</sub>.LAL.ERIM (<font color=""#c5000b"">NIŠAKIN</font> <font color=""#878787"">(Labat; MesZL: NIŠAKIN missing)</font>)","560+750+612","334+481+393","U+12009 & U+121F2 & U+1209F (A2 & LAL & ERIN2)","A2.LAL.ERIM (NIŠAKIN (Labat; MesZL: NIŠAKIN missing))","A2.LAL.ERIM (NISHAKIN)","–",560
"𒀉𒊩","𒀉𒊩","A₂.MUNUS","A2.MUNUS (ARḪUŠ6)","A<sub>2</sub>.MUNUS (ARḪUŠ<sub>6</sub>)","560+883","334+554","U+12009 & U+122A9 (A2 & SAL)","A2.MUNUS (ARḪUŠ6)","A2.MUNUS (ARHUSH6)","–",560
"𒀉𒈽","𒀉𒈽","A₂.MUŠ₂","A2.MUŠ2 (A2.SUKU5, A2.SUKUD; AŠKUD)","A<sub>2</sub>.MUŠ<sub>2</sub> (A<sub>2</sub>.SUKU<sub>5</sub>, A<sub>2</sub>.SUKUD; AŠKUD)","560+152","334+102","U+12009 & U+1223D (A2 & MUSH3 GUNU)","A2.MUŠ2 (A2.SUKU5, A2.SUKUD; AŠKUD)","A2.MUSH2 (A2.SUKU5, A2.SUKUD; ASHKUD)","–",560
"𒀉𒈹","𒀉𒈹","A₂.MUŠ₃","A2.MUŠ3 (A2.SUKU6, A2.SUKUD3; AŠKUD2)","A<sub>2</sub>.MUŠ<sub>3</sub> (A<sub>2</sub>.SUKU<sub>6</sub>, A<sub>2</sub>.SUKUD<sub>3</sub>; AŠKUD<sub>2</sub>)","560+153","334+103","U+12009 & U+12239 (A2 & MUSH3)","A2.MUŠ3 (A2.SUKU6, A2.SUKUD3; AŠKUD2)","A2.MUSH3 (A2.SUKU6, A2.SUKUD3; ASHKUD2)","–",560
"𒀉𒉺","𒀉𒉺","A₂.PA","A2.PA (A2.ZAG2; AZAG2)","A<sub>2</sub>.PA (A<sub>2</sub>.ZAG<sub>2</sub>; AZAG<sub>2</sub>)","560+464","334+295","U+12009 & U+1227A (A2 & PA)","A2.PA (A2.ZAG2; AZAG2)","A2.PA (A2.ZAG2; AZAG2)","–",560
"𒀉𒌋𒆤","𒀉𒌋𒆤","A₂.ŠITA₄","A2.ŠITA4 (A2.U.KID; AŠTE)","A<sub>2</sub>.ŠITA<sub>4</sub> (A<sub>2</sub>.U.KID; AŠTE)","560+699","334+442","U+12009 & U+1230B & U+121A4 (A2 & U & KID)","A2.ŠITA4 (A2.U.KID; AŠTE)","A2.SHITA4 (A2.U.KID; ASHTE)","–",560
"𒀉𒌉","𒀉𒌉","A₂.TUR","A2.TUR (ARḪUŠ5)","A<sub>2</sub>.TUR (ARḪUŠ<sub>5</sub>)","560+255","334+144","U+12009 & U+12309 (A2 & TUR)","A2.TUR (ARḪUŠ5)","A2.TUR (ARHUSH5)","–",560
"𒀉𒌓𒁺","𒀉𒌓𒁺","A₂.UD.DU","A2.UD.DU (EḪE, EḪI)","A<sub>2</sub>.UD.DU (EḪE, EḪI)","560+596+350","334+381+206","U+12009 & U+12313 & U+1207A (A2 & UD & DU)","A2.UD.DU (EḪE, EḪI)","A2.UD.DU (EHE, EHI)","–",560
"𒀊","𒀊","AB","AB (ABA, ABBA, AP, AŠ6, ERI12, ES3, EṢ3, EŠ3, EZ3, IRI12, IS3, IṢ3, IŚ7, IŠ7, IZ3, UNU5)","AB (ABA, ABBA, AP, AŠ<sub>6</sub>, ERI<sub>12</sub>, ES<sub>3</sub>, EṢ<sub>3</sub>, EŠ<sub>3</sub>, EZ<sub>3</sub>, IRI<sub>12</sub></font> <font color=""#878787"">(MesZL: Deimel IRI<sub>9</sub>)</font>, IS<sub>3</sub>, IṢ<sub>3</sub>, IŚ<sub>7</sub></font> <font color=""#878787"">(MesZL: ?)</font>, IŠ<sub>7</sub>, IZ<sub>3</sub>, UNU<sub>5</sub>)","223","128","U+1200A (AB)","AB (ABA, ABBA, AP, AŠ6, ERI12, ES3, EṢ3, EŠ3, EZ3, IRI12 (MesZL: Deimel IRI9), IS3, IṢ3, IŚ7 (MesZL: ?), IŠ7, IZ3, UNU5)","AB (ABA, ABBA, AP, ASH6, ERI12, ES3, EṢ3, ESH3, EZ3, IRI12, IS3, IṢ3, IŚ7, ISH7, IZ3, UNU5)","128-AB",223
"𒀊 × 𒀸","𒀊<font face = ""TeX Gyre Heros"" color = ""#ffffff""> × </font>𒀸","AB × AŠ","AB × AŠ","AB × AŠ","231","200b","–","AB × AŠ","AB × ASH","200-ABx",231
"𒀋","𒀋","AB × AŠ₂","AB × AŠ2 (ABBA2)","AB × AŠ<sub>2</sub> (<font color=""#878787"">(MesZL: reconstruction)</font>; ABBA<sub>2</sub>)","227","128** and 200a (ABZ)","U+1200B (AB TIMES ASH2)","AB × AŠ2 ( (MesZL: reconstruction); ABBA2)","AB × ASH2 (ABBA2)","–",227
"𒀌","𒀌","AB × GIN₂","AB × GIN2 (AGARIN)","AB × GIN<sub>2</sub> (AGARIN)","235","199","U+1200C (AB TIMES DUN3 GUNU)","AB × GIN2 (AGARIN)","AB × GIN2 (AGARIN)","–",235
"𒀑","𒀑","AB × IMIN","AB × IMIN (EŠEMEN4, EŠEMIN4)","AB × IMIN (EŠEMEN<sub>4</sub>, EŠEMIN<sub>4</sub>)","237","200d","U+12011 (AB TIMES IMIN)","AB × IMIN (EŠEMEN4, EŠEMIN4)","AB × IMIN (ESHEMEN4, ESHEMIN4)","200-ABx",237
"𒀎","𒀎","AB × KAR₂","AB × KAR2 (AB × GAN2 tenû; AGARIN2)","AB × KAR<sub>2</sub> (AB × GAN<sub>2</sub> <i>tenû</i>; AGARIN<sub>2</sub>)","225","198","U+1200E (AB TIMES GAN2 TENU)","AB × KAR2 (AB × GAN2 tenû; AGARIN2)","AB × KAR2 (AB × GAN2 tenû; AGARIN2)","–",225
"𒀊 × 𒆠","𒀊<font face = ""TeX Gyre Heros"" color = ""#ffffff""> × </font>𒆠","AB × KI","AB × KI","AB × KI","233","197","–","AB × KI","AB × KI","–",233
"𒀒","𒀒","AB × LAGAB","AB × LAGAB (NIGIN6, NIMGIN6, NIMIN2, NINGIN6)","AB × LAGAB (NIGIN<sub>6</sub>, NIMGIN<sub>6</sub>, NIMIN<sub>2</sub>, NINGIN<sub>6</sub>)","234","190g (Labat)","U+12012 (AB TIMES LAGAB)","AB × LAGAB (NIGIN6, NIMGIN6, NIMIN2, NINGIN6)","AB × LAGAB (NIGIN6, NIMGIN6, NIMIN2, NINGIN6)","–",234
"𒀊 × 𒉣","𒀊<font face = ""TeX Gyre Heros"" color = ""#ffffff""> × </font>𒉣","AB × NUN","AB × NUN","AB × NUN","224","128","–","AB × NUN","AB × NUN","–",224
"𒀐","𒀐","AB × SIG₇","AB × SIG7 (AB × IGI gunû; UNUGI)","AB × SIG<sub>7</sub> (AB × IGI <i>gunû</i>; UNUGI)","229","196","U+12010 (AB TIMES IGI GUNU)","AB × SIG7 (AB × IGI gunû; UNUGI)","AB × SIG7 (AB × IGI gunû; UNUGI)","–",229
"𒀓","𒀓","AB × ŠEŠ","AB × ŠEŠ (ZI4)","AB × ŠEŠ (ZI<sub>4</sub></font> <font color=""#878787"">(MesZL: Deimel SI<sub>4</sub>)</font>)","226","200c","U+12013 (AB TIMES SHESH)","AB × ŠEŠ (ZI4 (MesZL: Deimel SI4))","AB × SHESH (ZI4)","200-ABx",226
"𒀊 × 𒌋","𒀊<font face = ""TeX Gyre Heros"" color = ""#ffffff""> × </font>𒌋","AB × U","AB × U","AB × U","231","128****","–","AB × U","AB × U","–",231
"𒀊𒁮𒈠","𒀊𒁮𒈠","AB.DAM.MA","AB.DAM.MA (EŠ3.DAM.MA; EŠDA2)","AB.DAM.MA (EŠ<sub>3</sub>.DAM.MA; <font color=""#c5000b"">EŠDA<sub>2</sub></font> <font color=""#878787"">(Labat: in index NAB.DAM.MA (no. 129+557+342 = MesZL 246+889+552), but the first sign is AB (no. 128 = MesZL 223); MesZL: EŠDA<sub>2</sub> = ŠITA<sub>2</sub>.KU (nos. 434+808))</font>)","223+889+552","129+557+342","U+1200A & U+1206E & U+12220 (AB & DAM & MA)","AB.DAM.MA (EŠ3.DAM.MA; EŠDA2 (Labat: in index NAB.DAM.MA (no. 129+557+342 = MesZL 246+889+552), but the first sign is AB (no. 128 = MesZL 223); MesZL: EŠDA2 = ŠITA2.KU (nos. 434+808))","AB.DAM.MA (ESH3.DAM.MA; ESHDA2)","–",223
"𒀊𒄩𒍠𒃮𒄷","𒀊𒄩𒍠𒃮𒄷","AB.ḪA.ZAG.GAB.ḪU","AB.ḪA.ZAG.GAB.ḪU (AB.ḪA.ZAG.DU8.ḪU; ESSADU, EŠSADU)","AB.ḪA.ZAG.GAB.ḪU (AB.ḪA.ZAG.DU<sub>8</sub>.ḪU; ESSADU, EŠSADU)","223+856+540+298+132","128+589+332+167+078","U+1200A & U+12129 & U+12360 & U+120EE & U+12137 (AB & HA & ZAG & GABA & HU)","AB.ḪA.ZAG.GAB.ḪU (AB.ḪA.ZAG.DU8.ḪU; ESSADU, EŠSADU)","AB.HA.ZAG.GAB.HU (AB.HA.ZAG.DU8.HU; ESSADU, ESHSADU)","–",223
"𒀊𒈹","𒀊𒈹","AB.MUŠ₃","AB.MUŠ3 (ZABALA6, ZABALAM6)","AB.MUŠ<sub>3</sub> (ZABALA<sub>6</sub>, ZABALAM<sub>6</sub>)","223+153","128+103","U+1200A & U+12239 (AB & MUSH3)","AB.MUŠ3 (ZABALA6, ZABALAM6)","AB.MUSH3 (ZABALA6, ZABALAM6)","–",223
"𒀊𒉆","𒀊𒉆","AB.NAM","AB.NAM (ABSIN2)","AB.NAM (ABSIN<sub>2</sub></font> <font color=""#878787"">(MesZL: needless, read AB.SIN<sub>2</sub>)</font>)","223+134","461+079","U+1200A & U+12246 (AB & NAM)","AB.NAM (ABSIN2 (MesZL: needless, read AB.SIN2))","AB.NAM (ABSIN2)","–",223
"𒀖","𒀖","AB₂","AB2 (AP2, LE8, LI8, LID, LIT, LITI, LIṬ, LIṬI, REM2, REME2, RIM2, RIMI2)","AB<sub>2</sub> (AP<sub>2</sub>, LE<sub>8</sub>, LI<sub>8</sub>, LID, LIT, LITI, LIṬ, LIṬI, REM<sub>2</sub>, REME<sub>2</sub>, RIM<sub>2</sub>, <font color=""#c5000b"">RIMI<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: RIMI<sub>2</sub> missing)</font>)","672","420","U+12016 (AB2)","AB2 (AP2, LE8, LI8, LID, LIT, LITI, LIṬ, LIṬI, REM2, REME2, RIM2, RIMI2 (Labat; MesZL: RIMI2 missing))","AB2 (AP2, LE8, LI8, LID, LIT, LITI, LIṬ, LIṬI, REM2, REME2, RIM2, RIMI2)","420-AB2",672
"𒀖 × 𒀀","𒀖<font face = ""TeX Gyre Heros"" color = ""#ffffff""> × </font>𒀀","AB₂ × A","AB2 × A","AB<sub>2</sub> × A <font color=""#878787"">(MesZL: Hittite)</font>","680","426a","–","AB2 × A (MesZL: Hittite)","AB2 × A","–",680
"𒀛","𒀛","AB₂ × KID₂","AB2 × KID2 (AB2 × TAK4; ŠEM6, UB5, UBA5)","AB<sub>2</sub> × KID<sub>2</sub> (AB<sub>2</sub> × TAK<sub>4</sub>; ŠEM<sub>6</sub> <font color=""#878787"">(MesZL: also AB<sub>2</sub>.KID<sub>2</sub> (nos. 672+106))</font>, UB<sub>5</sub> <font color=""#878787"">(MesZL: also AB<sub>2</sub>.KID<sub>2</sub> (nos. 672+106); Deimel and Labat differently)</font>, UBA<sub>5</sub> <font color=""#878787"">(MesZL: ?, also AB<sub>2</sub>.KID<sub>2</sub> (nos. 672+106); Deimel and Labat differently)</font>)","673","420,8 (ABZ)","U+1201B (AB2 TIMES TAK4)","AB2 × KID2 (AB2 × TAK4; ŠEM6 (MesZL: also AB2.KID2 (nos. 672+106)), UB5 (MesZL: also AB2.KID2 (nos. 672+106); Deimel and Labat differently), UBA5 (MesZL: ?, also AB2.KID2 (nos. 672+106); Deimel and Labat differently))","AB2 × KID2 (AB2 × TAK4; SHEM6, UB5, UBA5)","–",673
"𒀖𒋺","𒀖𒋺","AB₂.KID₂","AB2.KID2 (ŠEM6, UB5, UBA5)","AB<sub>2</sub>.KID<sub>2</sub> (ŠEM<sub>6</sub> <font color=""#878787"">(MesZL: also AB<sub>2</sub> × KID<sub>2</sub> (no. 673))</font>, UB<sub>5</sub> <font color=""#878787"">(MesZL: also AB<sub>2</sub> × KID<sub>2</sub> (no. 673); Deimel and Labat differently)</font>, UBA<sub>5</sub> <font color=""#878787"">(MesZL: ?, also AB<sub>2</sub> × KID<sub>2</sub> (no. 673); Deimel and Labat differently)</font>)","672+106","420+063","U+12016 & U+122FA (AB2 & TAK4)","AB2.KID2 (ŠEM6 (MesZL: also AB2 × KID2 (no. 673)), UB5 (MesZL: also AB2 × KID2 (no. 673); Deimel and Labat differently), UBA5 (MesZL: ?, also AB2 × KID2 (no. 673); Deimel and Labat differently))","AB2.KID2 (SHEM6, UB5, UBA5)","–",672
"𒀖𒆪","𒀖𒆪","AB₂.KU","AB2.KU (UDUL, UNU3, UTUL)","AB<sub>2</sub>.KU (UDUL, UNU<sub>3</sub>, UTUL)","672+808","420+536","U+12016 & U+121AA (AB2 & KU)","AB2.KU (UDUL, UNU3, UTUL)","AB2.KU (UDUL, UNU3, UTUL)","–",672
"𒀖𒇻","𒀖𒇻","AB₂.LU","AB2.LU (AB2.DIB; UDUL10, UTUL10)","AB<sub>2</sub>.LU (AB<sub>2</sub>.DIB; UDUL<sub>10</sub>, UTUL<sub>10</sub>)","672+812","420+537","U+12016 & U+121FB (AB2 & LU)","AB2.LU (AB2.DIB; UDUL10, UTUL10)","AB2.LU (AB2.DIB; UDUL10, UTUL10)","–",672
"𒉣𒈨𒁺","𒉣𒈨𒁺","ABRIG","ABRIG (NUN.ME.DU)","ABRIG (NUN.ME.DU <font color=""#878787"">(MesZL: nos. 143 and 672)</font>)","143+753+350","087+532+206","U+12263 & U+12228 & U+1207A (NUN & ME & DU)","ABRIG (NUN.ME.DU (MesZL: nos. 143 and 672))","ABRIG (NUN.ME.DU)","–",143
"𒀖𒉣𒈨𒁺","𒀖𒉣𒈨𒁺","ABRIG₂","ABRIG2 (AB2.NUN.ME.DU, AB2.ABRIG)","ABRIG<sub>2</sub> (AB<sub>2</sub>.NUN.ME.DU, AB<sub>2</sub>.ABRIG</font> <font color=""#878787"">(MesZL: Deimel differently, or <sup>AB2</sup>ABRIG)</font>)","672+143+753+350","420+087+532+206","U+12016 & U+12263 & U+12228 & U+1207A (NUN & ME & DU)","ABRIG2 (AB2.NUN.ME.DU, AB2.ABRIG (MesZL: Deimel differently, or AB2ABRIG))","ABRIG2 (AB2.NUN.ME.DU, AB2.ABRIG)","–",672
"𒍪𒀊","𒍪𒀊","ABZU","ABZU (ZU.AB, ZU+AB)","ABZU (ZU.AB, ZU+AB)","015+223","006+128","U+1236A & U+1200A (ZU & AB)","ABZU (ZU.AB, ZU+AB)","ABZU (ZU.AB, ZU+AB)","–",15
"𒀜","𒀜","AD","AD (AB3, ABA3, ADA, AP3, AT, AṬ)","AD (AB<sub>3</sub>, ABA<sub>3</sub>, <font color=""#579d1c"">ADA </font> <font color=""#878787"">(ABZ; MesZL: ADA missing; Labat: ADA missing)</font>, AP<sub>3</sub>, AT, AṬ)","258","145","U+1201C (AD)","AD (AB3, ABA3, ADA (ABZ; MesZL: ADA missing; Labat: ADA missing), AP3, AT, AṬ)","AD (AB3, ABA3, ADA, AP3, AT, AṬ)","145-AD",258
"𒀜𒆤","𒀜𒆤","AD.KID","AD.KID (AKKIL2, GUB5)","AD.KID (AKKIL<sub>2</sub>, GUB<sub>5</sub></font> <font color=""#878787"">(MesZL: KID of AD.KID opened)</font>)","258+484","145+313","U+1201C & U+121A4 (AD & KID)","AD.KID (AKKIL2, GUB5 (MesZL: KID of AD.KID opened))","AD.KID (AKKIL2, GUB5)","–",258
"𒇼","𒇼","AD₃","AD3 (LU × BAD, UDU.UŠ2; ADDA2)","AD<sub>3</sub> (LU × BAD, UDU.UŠ<sub>2</sub>; ADDA<sub>2</sub>)","814","537 (Labat), 537,65 + 537* (ABZ)","U+121FC (LU TIMES BAD)","AD3 (LU × BAD, UDU.UŠ2; ADDA2)","AD3 (LU × BAD, UDU.USH2; ADDA2)","–",814
"𒍞","𒍞","AD₄","AD4 (ZA tenû, ERIM tenû; ADDU4)","AD<sub>4</sub> (ZA <i>tenû</i>, ERIM <i>tenû</i>; ADDU<sub>4</sub></font> <font color=""#878787"">(MesZL: ADṬU and ADUŠ perhaps so to improve)</font>)","854","380 (Labat), 379.2 (ABZ)","U+1235E (ZA TENU)","AD4 (ZA tenû, ERIM tenû; ADDU4 (MesZL: ADṬU and ADUŠ perhaps so to improve))","AD4 (ZA tenû, ERIM tenû; ADDU4)","–",854
"𒀝","𒀝","AG","AG (A5, AK, AKA, AQ, AQA, KE3, KI3, KID3, ME6, NA3, RA6, ŠA5)","AG (A<sub>5</sub>, AK, AKA, AQ, AQA, KE<sub>3</sub> <font color=""#878787"">(MesZL: Deimel differently)</font>, KI<sub>3</sub>, KID<sub>3</sub>, ME<sub>6</sub>, NA<sub>3</sub>, RA<sub>6</sub>, ŠA<sub>5</sub>)","127","097","U+1201D (AK)","AG (A5, AK, AKA, AQ, AQA, KE3 (MesZL: Deimel differently), KI3, KID3, ME6, NA3, RA6, ŠA5)","AG (A5, AK, AKA, AQ, AQA, KE3, KI3, KID3, ME6, NA3, RA6, SHA5)","097-AK",127
"𒀞","𒀞","AG × ERIM","AG × ERIM (ME3)","AG × ERIM (ME<sub>3</sub> <font color=""#878787"">(MesZL: also KA × ERIM (53))</font>)","129","098","U+1201E (AK TIMES ERIN2)","AG × ERIM (ME3 (MesZL: also KA × ERIM (no. 53))","AG × ERIM (ME3)","–",129
"𒀟","𒀟","AG × ŠITA₂","AG × ŠITA2 (AK × ŠITA.GIŠ; ME11)","AG × ŠITA<sub>2</sub> (AK × ŠITA.GIŠ; ME<sub>11</sub>)","128","097a","U+1201F (AK TIMES SHITA PLUS GISH)","AG × ŠITA2 (AK × ŠITA.GIŠ; ME11)","AG × SHITA2 (AK × SHITA.GISH; ME11)","–",128
"𒉘","𒉘","AG₂","AG2 (NINDA2 × NE; AGA2, AKA2, AM2, EG3, EM3, IG3, IM3, RAM, RAMA)","AG<sub>2</sub> (NINDA<sub>2</sub> × NE; AGA<sub>2</sub>, AKA<sub>2</sub>, AM<sub>2</sub>, EG<sub>3</sub>, EM<sub>3</sub>, IG<sub>3</sub>, IM<sub>3</sub>, RAM, RAMA)","326","183","U+12258 (NINDA2 TIMES NE)","AG2 (NINDA2 × NE; AGA2, AKA2, AM2, EG3, EM3, IG3, IM3, RAM, RAMA)","AG2 (NINDA2 × NE; AGA2, AKA2, AM2, EG3, EM3, IG3, IM3, RAM, RAMA)","183-AG2",326
"𒅆𒁾","𒅆𒁾","AGRIG","AGRIG (IGI.DUB; GISKIM, GIŠKIM, GIZKIM, ISKIM, IZKIM, UG6)","AGRIG (IGI.DUB; GISKIM, GIŠKIM, GIZKIM, ISKIM, IZKIM, <font color=""#c5000b"">UG<sub>6</sub></font> <font color=""#878787"">(Labat: ?; MesZL: UG<sub>6</sub> missing)</font>)","727","452","U+12146 & U+1207E (IGI & DUB)","AGRIG (IGI.DUB; GISKIM, GIŠKIM, GIZKIM, ISKIM, IZKIM, UG6 (Labat: ?; MesZL: UG6 missing))","AGRIG (IGI.DUB; GISKIM, GISHKIM, GIZKIM, ISKIM, IZKIM, UG6)","452-AGRIG",727
